transaction_id,date,account_id,transaction_type,channel,amount,status,exception_reason,region,processing_time_mins
TXN-6CD3C0430D05,2026-07-02,ACCT-6CD3C0430D05,Card,Mobile,69.81,processed,,Northeast,0.6
TXN-C0D8A9A230E1,2026-08-03,ACCT-C0D8A9A230E1,Wire,Call Center,182097.08,processed,,Southeast,8.0
TXN-5A39CADD1B00,2026-07-21,ACCT-5A39CADD1B00,Card,Online,253.7,processed,,Southeast,2.2
TXN-317AB38A42B9,2026-08-17,ACCT-317AB38A42B9,ACH,API,35033.14,processed,,Southwest,4.7
TXN-22B3FDD8F9CD,2026-07-27,ACCT-22B3FDD8F9CD,ACH,Online,759.37,processed,,West,8.6
TXN-E5CE8D4FD545,2026-07-31,ACCT-E5CE8D4FD545,ACH,Branch,1971.43,processed,,Southeast,2.9
TXN-FE7A4E450BC1,2026-07-09,ACCT-FE7A4E450BC1,Check,Mobile,9970.14,processed,,Midwest,0.6
TXN-D8F6BF1A64CB,2026-08-28,ACCT-D8F6BF1A64CB,Card,Online,24.75,processed,,Midwest,13.2
TXN-FBC1F6898B3F,2026-08-05,ACCT-FBC1F6898B3F,ACH,Branch,7466.62,exception,Account number mismatch,Southwest,4.3
TXN-02C9B1EF2D53,2026-07-06,ACCT-02C9B1EF2D53,Check,Branch,13112.45,processed,,West,1.8
TXN-41ED0C59258D,2026-07-02,ACCT-41ED0C59258D,Card,Online,3.97,pending,,Midwest,1.9
TXN-043CC326FB8F,2026-07-09,ACCT-043CC326FB8F,Bill Pay,Online,5284.57,processed,,Midwest,9.5
TXN-30E2C3D83DB0,2026-08-18,ACCT-30E2C3D83DB0,Card,ATM,548.52,processed,,Midwest,2.0
TXN-AFBFB89027A4,2026-07-05,ACCT-AFBFB89027A4,ACH,API,2813.66,processed,,West,4.2
TXN-CD481914F49A,2026-08-31,ACCT-CD481914F49A,Wire,Branch,51410.71,processed,,Southeast,4.2
TXN-CD0B76133130,2026-07-24,ACCT-CD0B76133130,Card,Mobile,59.75,processed,,Southwest,1.2
TXN-4420D11FA915,2026-06-26,ACCT-4420D11FA915,Card,Online,161.62,processed,,Northeast,1.3
TXN-AC37DDE628EC,2026-08-28,ACCT-AC37DDE628EC,Wire,Branch,9361.41,processed,,Southwest,3.8
TXN-7A05EDB037F0,2026-09-08,ACCT-7A05EDB037F0,ACH,API,2121.74,processed,,Northeast,2.5
TXN-1B656B5FF854,2026-07-28,ACCT-1B656B5FF854,Check,Branch,85373.0,processed,,Midwest,10.6
TXN-105B1D1853BE,2026-09-17,ACCT-105B1D1853BE,Wire,Online,16862.09,processed,,Southeast,6.3
TXN-904F09FA519F,2026-07-27,ACCT-904F09FA519F,ACH,API,3350.02,processed,,Southwest,2.2
TXN-AF5422F82407,2026-08-16,ACCT-AF5422F82407,Card,Mobile,107.59,processed,,Southwest,4.4
TXN-6CE24FA42323,2026-08-03,ACCT-6CE24FA42323,ACH,Online,1677.82,processed,,Southwest,4.1
TXN-CB18BCF51290,2026-07-13,ACCT-CB18BCF51290,Zelle/P2P,Online,102.51,processed,,Northeast,2.4
TXN-299F29599F22,2026-09-21,ACCT-299F29599F22,Card,Online,405.58,processed,,Southwest,5.1
TXN-1D9D5DC73A35,2026-08-31,ACCT-1D9D5DC73A35,Wire,Branch,56942.22,processed,,Northeast,2.2
TXN-27D70E035138,2026-08-24,ACCT-27D70E035138,Check,Mobile,2514.94,processed,,Southeast,0.6
TXN-D1715D1846D4,2026-06-25,ACCT-D1715D1846D4,Check,Branch,8079.53,processed,,Midwest,5.5
TXN-F74E1803E892,2026-06-24,ACCT-F74E1803E892,ACH,Mobile,5935.13,processed,,Southwest,4.1
TXN-8AA83C8A7617,2026-09-06,ACCT-8AA83C8A7617,Card,Mobile,240.78,processed,,Northeast,4.5
TXN-6FD6748DC299,2026-07-15,ACCT-6FD6748DC299,Check,Branch,677.96,processed,,Northeast,12.9
TXN-80CCD59A719F,2026-08-19,ACCT-80CCD59A719F,Card,Online,25.58,processed,,Northeast,6.3
TXN-DF139C403530,2026-08-21,ACCT-DF139C403530,ACH,Online,3117.98,processed,,Southeast,2.0
TXN-2B067895ED24,2026-09-18,ACCT-2B067895ED24,ACH,Branch,2856.09,processed,,Midwest,2.4
TXN-C4EEF1FEDB35,2026-08-05,ACCT-C4EEF1FEDB35,Check,Branch,16427.48,processed,,West,18.6
TXN-15D73BB4B445,2026-08-28,ACCT-15D73BB4B445,Zelle/P2P,Mobile,659.17,processed,,Northeast,2.7
TXN-BEA5458391ED,2026-07-06,ACCT-BEA5458391ED,ACH,Online,4493.12,processed,,Southeast,2.4
TXN-3FECBEAB2743,2026-06-25,ACCT-3FECBEAB2743,ACH,Mobile,4087.39,processed,,,4.9
TXN-DCF8BB6C8583,2026-07-01,ACCT-DCF8BB6C8583,ACH,Online,840.11,processed,,West,1.9
TXN-96F74527DD7D,2026-07-31,ACCT-96F74527DD7D,ACH,Online,1673.31,processed,,Midwest,11.1
TXN-AE5DA5716B41,2026-07-28,ACCT-AE5DA5716B41,Card,Mobile,118.6,processed,,West,3.3
TXN-AA0786629D94,2026-09-17,ACCT-AA0786629D94,Card,Mobile,114.28,processed,,Northeast,2.3
TXN-A67792EC5335,2026-08-01,ACCT-A67792EC5335,ACH,Online,10823.64,processed,,Northeast,1.1
TXN-ADDF00C1D155,2026-07-14,ACCT-ADDF00C1D155,ACH,API,261.84,processed,,Southeast,18.2
TXN-1BD8E4AA260A,2026-07-05,ACCT-1BD8E4AA260A,Card,Online,94.85,processed,,Northeast,3.2
TXN-FBB0ACFBEE70,2026-07-07,ACCT-FBB0ACFBEE70,Card,Mobile,101.26,processed,,Northeast,11.8
TXN-6FF473C4B8B9,2026-07-27,ACCT-6FF473C4B8B9,Card,Online,88.04,processed,,Northeast,2.0
TXN-418AD3EE671A,2026-09-15,ACCT-418AD3EE671A,Zelle/P2P,Mobile,1102.34,processed,,Southeast,11.9
TXN-98C6F12CF67E,2026-08-01,ACCT-98C6F12CF67E,Card,ATM,88.52,processed,,West,3.8
TXN-90EFD5F59012,2026-07-29,ACCT-90EFD5F59012,Wire,Call Center,12574.62,processed,,West,7.9
TXN-572249C60E77,2026-07-31,ACCT-572249C60E77,ACH,Mobile,9367.49,processed,,Southeast,3.9
TXN-756A6524CDB2,2026-07-31,ACCT-756A6524CDB2,Bill Pay,Online,6833.46,processed,,Southeast,2.5
TXN-C5A4043EFBB5,2026-06-26,ACCT-C5A4043EFBB5,Bill Pay,Online,1857.99,processed,,West,10.1
TXN-73E7680610AB,2026-07-03,ACCT-73E7680610AB,ACH,Online,1780.05,processed,,Southwest,7.7
TXN-5796BAF6FAE5,2026-08-19,ACCT-5796BAF6FAE5,Card,Online,243.99,processed,,Southeast,2.7
TXN-ACB6AF4C0A66,2026-07-31,ACCT-ACB6AF4C0A66,ACH,API,3716.35,processed,,West,7.2
TXN-0AEEC946B8C4,2026-07-02,ACCT-0AEEC946B8C4,Card,ATM,249.26,processed,,West,17.0
TXN-98C1D47C393B,2026-07-06,ACCT-98C1D47C393B,Card,ATM,66.43,processed,,Southeast,10.4
TXN-F35DF84F183B,2026-07-14,ACCT-F35DF84F183B,Wire,Call Center,39013.03,processed,,West,15.2
TXN-58144BA2F74E,2026-08-03,ACCT-58144BA2F74E,Bill Pay,Mobile,210.61,processed,,Northeast,2.6
TXN-5C3E9040008C,2026-06-26,ACCT-5C3E9040008C,ACH,Mobile,4368.66,processed,,Northeast,2.1
TXN-D9A4558DBDE6,2026-09-08,ACCT-D9A4558DBDE6,Card,Mobile,367.83,processed,,Midwest,2.3
TXN-00582CB42F79,2026-09-13,ACCT-00582CB42F79,Card,Online,162.2,processed,,Southeast,4.5
TXN-62B1A762012E,2026-07-22,ACCT-62B1A762012E,ACH,API,1198.01,processed,,West,0.6
TXN-0B42D71285C2,2026-08-26,ACCT-0B42D71285C2,Wire,Call Center,8690.99,exception,Amount exceeds limit,Midwest,16.6
TXN-F8ACE8696F29,2026-07-02,ACCT-F8ACE8696F29,ACH,Branch,4516.53,processed,,Midwest,8.3
TXN-E119D8A486D7,2026-06-30,ACCT-E119D8A486D7,ACH,Online,581.99,processed,,Southwest,3.9
TXN-0376E481E9F4,2026-07-03,ACCT-0376E481E9F4,Card,Mobile,1390.05,processed,,Southeast,4.9
TXN-E9EC726D7636,2026-09-15,ACCT-E9EC726D7636,ACH,Online,915.14,processed,,Northeast,3.8
TXN-C56D07046E9B,2026-09-17,ACCT-C56D07046E9B,Zelle/P2P,Mobile,326.81,processed,,Southwest,5.9
TXN-43BCC769935A,2026-09-04,ACCT-43BCC769935A,ACH,API,2532.67,processed,,Southeast,4.3
TXN-EAB554E91356,2026-06-29,ACCT-EAB554E91356,Check,Branch,26327.93,processed,,Southeast,4.7
TXN-7D85A2858D48,2026-09-01,ACCT-7D85A2858D48,Card,Mobile,57.51,failed,,West,21.3
TXN-9F2790E2DFFD,2026-09-17,ACCT-9F2790E2DFFD,Zelle/P2P,Mobile,464.53,processed,,Midwest,18.1
TXN-664A53F9ADB7,2026-09-11,ACCT-664A53F9ADB7,Wire,Branch,9802.36,processed,,Northeast,15.0
TXN-26859DE72F0D,2026-07-12,ACCT-26859DE72F0D,Card,Mobile,178.16,processed,,Northeast,1.1
